"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username"""
"1886565325702885484,""Mon Feb 03 23:59:58 +0000 2025"",""2"","" $CORZ (2025 target): 6.4x #bitcoin #hpc #IA #DeepSeek #TARRIFFS $mara $riot $clsk $sdig $nvda $mstr $coin $blk $meta $btdr $amzn $slnh $sato $glxy $eth $smci $tsla $tao $render $gpu $doge $xrp $inj $trump $appl $arm $avgo $tsm $asml $pltr"",""1886565325702885484"","""","""",""en"",""Monaco"",""0"",""2"",""0"",""https://x.com/singles_stories/status/1886565325702885484"",""1034590996624039936"",""singles_stories"""
"1886565244895363321,""Mon Feb 03 23:59:51 +0000 2025"",""0"",""What are your thoughts on this matter? Do you agree? Leave your thoughts on the comments below Like and follow for more content! #ChinaUS #TradeWar #EconomicStrategy #Geopolitics #KyunJin #GlobalEconomy #Tariffs #Trump #ChinaPrepares #DeepSeek #ViralInterview"",""1886565292697862457"","""",""CyCoderX"",""en"","""",""0"",""0"",""0"",""https://x.com/CyCoderX/status/1886565292697862457"",""1860376765182398464"",""CyCoderX"""
"1886565274243010694,""Mon Feb 03 23:59:46 +0000 2025"",""0"",""Geopolitical Disruptions YOU Missed Last week Mr. Geopolitics went from the Geopolitics of DeepSeek to a North American trade war to a new transatlantic Big Tech battle. Learn more in the free weekly debrief here: https://t.co/rwNUsRPj1J In case you missed it here is what https://t.co/qCKxRsGzKZ"",""1886565274243010694"",""https://pbs.twimg.com/media/Gi5s9QxWEAAdH9F.jpg"","""",""en"","""",""0"",""0"",""0"",""https://x.com/abishurprakash/status/1886565274243010694"",""1397717875"",""abishurprakash"""
"1886564844779761777,""Mon Feb 03 23:59:34 +0000 2025"",""56"",""Each new generation of AGI lab technical founders has better hair. But you CANNOT HAVE GOOD HAIR. If you're young Asian and have good hair (which seems to be true of Wenfeng) you have to at least have bad haircut this is the meta. you can't have good hair"",""1886565225060819207"","""",""teortaxesTex"",""en"","""",""0"",""7"",""1"",""https://x.com/teortaxesTex/status/1886565225060819207"",""192201556"",""teortaxesTex"""
"1886565178164301900,""Mon Feb 03 23:59:23 +0000 2025"",""9"",""Crazy! Google Interest Last 7 Days - Worldwide for ChatGPT X Deepseek x Gemini x Claude. ChatGPT is still the undisputed king but Deepseek seems to be on its way to becoming an undefeated second place. https://t.co/XtEH3P8Y2T"",""1886565178164301900"",""https://pbs.twimg.com/media/Gi5s1EEXUAE-h8w.jpg"","""",""en"","""",""0"",""1"",""1"",""https://x.com/artificialguybr/status/1886565178164301900"",""1404858023991025678"",""artificialguybr"""
"1886424599539171361,""Mon Feb 03 23:59:03 +0000 2025"",""0"",""@LorenRaeDeJ Oh no DeepSeek is stealing my data Wait 6 incels have access to all my data? "",""1886565091392283088"","""",""metrobeer"",""en"",""Montréal"",""0"",""0"",""0"",""https://x.com/metrobeer/status/1886565091392283088"",""19461633"",""metrobeer"""
"1886565022467297729,""Mon Feb 03 23:58:46 +0000 2025"",""4"",""I'm literally asking for a script that automatically plots a level on the high and low of a candle. Been at this for over an hour with premium ChatGPT Gemini DeepSeek etc. Not a single one can produce working code that does what I need it to do. Crazy. https://t.co/l2U5kA8lNk"",""1886565022467297729"",""https://pbs.twimg.com/media/Gi5sqb_XcAAGkHb.png"","""",""en"",""Glasgow, Scotland"",""1"",""2"",""0"",""https://x.com/sam_kb_/status/1886565022467297729"",""1176909334623727616"",""sam_kb_"""
"1886502688638009735,""Mon Feb 03 23:58:30 +0000 2025"",""1"",""@tophatsandgains I might try Deepseek Ive heard good things."",""1886564954175889506"","""",""tophatsandgains"",""en"",""Eden Prime"",""0"",""0"",""0"",""https://x.com/GloriousKev/status/1886564954175889506"",""22697062"",""GloriousKev"""
"1886563694752227833,""Mon Feb 03 23:58:29 +0000 2025"",""0"",""@SpiderCrypto0x $ANON is deepseek/cgpt for crypto"",""1886564950186799340"","""",""SpiderCrypto0x"",""en"",""Indiana, USA"",""0"",""0"",""0"",""https://x.com/samueljweber/status/1886564950186799340"",""34291032"",""samueljweber"""
"1886564847086629306,""Mon Feb 03 23:58:04 +0000 2025"",""0"",""Is China s DeepSeek Using Smuggled AI Chips From Singapore? https://t.co/HIJ2n8NXZG"",""1886564847086629306"","""","""",""en"",""US"",""0"",""0"",""0"",""https://x.com/TimeObserving/status/1886564847086629306"",""1756105501614428160"",""TimeObserving"""
